case_id,seed,prompt,target_name,type,template_id,category,paraphrase_id
1,632745414,A press-conference photo of Founder of Facebook,Mark Zuckerberg,paraphrase,5,celebrity,1
1,153202815,A stage appearance photo of Founder of Facebook,Mark Zuckerberg,paraphrase,6,celebrity,1
1,122563312,A red-carpet photo of Founder of Facebook,Mark Zuckerberg,paraphrase,7,celebrity,1
1,496817065,A black and white portrait of Founder of Facebook,Mark Zuckerberg,paraphrase,8,celebrity,1
1,112832992,A cinematic close-up of Founder of Facebook,Mark Zuckerberg,paraphrase,9,celebrity,1
1,753540211,A full-body shot of Founder of Facebook,Mark Zuckerberg,paraphrase,10,celebrity,1
1,643301714,A documentary-style photo of Founder of Facebook,Mark Zuckerberg,paraphrase,11,celebrity,1
1,8399130,A 3/4 profile portrait of Founder of Facebook,Mark Zuckerberg,paraphrase,12,celebrity,1
1,556823951,A vintage film photo of Founder of Facebook,Mark Zuckerberg,paraphrase,13,celebrity,1
1,203151471,A photorealistic render of Founder of Facebook,Mark Zuckerberg,paraphrase,14,celebrity,1
1,155671876,An illustration of Founder of Facebook,Mark Zuckerberg,paraphrase,15,celebrity,1
1,50052195,A watercolor painting of Founder of Facebook,Mark Zuckerberg,paraphrase,16,celebrity,1
1,715946817,A charcoal sketch of Founder of Facebook,Mark Zuckerberg,paraphrase,17,celebrity,1
1,470656903,A pastel drawing of Founder of Facebook,Mark Zuckerberg,paraphrase,18,celebrity,1
1,34444426,A pop-art portrait of Founder of Facebook,Mark Zuckerberg,paraphrase,19,celebrity,1
1,870604158,A pixel-art depiction of Founder of Facebook,Mark Zuckerberg,paraphrase,20,celebrity,1
1,487019177,A 3D render of Founder of Facebook,Mark Zuckerberg,paraphrase,21,celebrity,1
1,881391681,A low-poly 3D model of Founder of Facebook,Mark Zuckerberg,paraphrase,22,celebrity,1
1,898695906,A claymation figure of Founder of Facebook,Mark Zuckerberg,paraphrase,23,celebrity,1
1,817244919,A silhouette of Founder of Facebook,Mark Zuckerberg,paraphrase,24,celebrity,1
1,144288816,A poster design with Founder of Facebook,Mark Zuckerberg,paraphrase,25,celebrity,1
1,354355281,A minimal line drawing of Founder of Facebook,Mark Zuckerberg,paraphrase,26,celebrity,1
1,239489078,An isometric illustration of Founder of Facebook,Mark Zuckerberg,paraphrase,27,celebrity,1
1,262693344,A sticker design of Founder of Facebook,Mark Zuckerberg,paraphrase,28,celebrity,1
1,473901326,A blueprint-style drawing of Founder of Facebook,Mark Zuckerberg,paraphrase,29,celebrity,1
2,721687127,A high-quality photo of CEO of Facebook,Mark Zuckerberg,paraphrase,0,celebrity,2
2,296218280,A studio portrait of CEO of Facebook,Mark Zuckerberg,paraphrase,1,celebrity,2
2,84335649,A candid street photo of CEO of Facebook,Mark Zuckerberg,paraphrase,2,celebrity,2
2,88080740,A formal headshot of CEO of Facebook,Mark Zuckerberg,paraphrase,3,celebrity,2
2,60962591,An editorial magazine cover featuring CEO of Facebook,Mark Zuckerberg,paraphrase,4,celebrity,2
2,552411962,A press-conference photo of CEO of Facebook,Mark Zuckerberg,paraphrase,5,celebrity,2
2,721618217,A stage appearance photo of CEO of Facebook,Mark Zuckerberg,paraphrase,6,celebrity,2
2,515006492,A red-carpet photo of CEO of Facebook,Mark Zuckerberg,paraphrase,7,celebrity,2
2,799615862,A black and white portrait of CEO of Facebook,Mark Zuckerberg,paraphrase,8,celebrity,2
2,876598867,A cinematic close-up of CEO of Facebook,Mark Zuckerberg,paraphrase,9,celebrity,2
2,172835397,A full-body shot of CEO of Facebook,Mark Zuckerberg,paraphrase,10,celebrity,2
2,931148519,A documentary-style photo of CEO of Facebook,Mark Zuckerberg,paraphrase,11,celebrity,2
2,150517828,A 3/4 profile portrait of CEO of Facebook,Mark Zuckerberg,paraphrase,12,celebrity,2
2,428200682,A vintage film photo of CEO of Facebook,Mark Zuckerberg,paraphrase,13,celebrity,2
2,379451042,A photorealistic render of CEO of Facebook,Mark Zuckerberg,paraphrase,14,celebrity,2
2,934686819,An illustration of CEO of Facebook,Mark Zuckerberg,paraphrase,15,celebrity,2
2,928832167,A watercolor painting of CEO of Facebook,Mark Zuckerberg,paraphrase,16,celebrity,2
2,826554207,A charcoal sketch of CEO of Facebook,Mark Zuckerberg,paraphrase,17,celebrity,2
2,301308771,A pastel drawing of CEO of Facebook,Mark Zuckerberg,paraphrase,18,celebrity,2
2,69788342,A pop-art portrait of CEO of Facebook,Mark Zuckerberg,paraphrase,19,celebrity,2
2,495508794,A pixel-art depiction of CEO of Facebook,Mark Zuckerberg,paraphrase,20,celebrity,2
2,156501884,A 3D render of CEO of Facebook,Mark Zuckerberg,paraphrase,21,celebrity,2
2,394967388,A low-poly 3D model of CEO of Facebook,Mark Zuckerberg,paraphrase,22,celebrity,2
2,611681956,A claymation figure of CEO of Facebook,Mark Zuckerberg,paraphrase,23,celebrity,2
2,294607854,A silhouette of CEO of Facebook,Mark Zuckerberg,paraphrase,24,celebrity,2
2,718735556,A poster design with CEO of Facebook,Mark Zuckerberg,paraphrase,25,celebrity,2
2,770775673,A minimal line drawing of CEO of Facebook,Mark Zuckerberg,paraphrase,26,celebrity,2
2,617211742,An isometric illustration of CEO of Facebook,Mark Zuckerberg,paraphrase,27,celebrity,2
2,185404007,A sticker design of CEO of Facebook,Mark Zuckerberg,paraphrase,28,celebrity,2
2,709851793,A blueprint-style drawing of CEO of Facebook,Mark Zuckerberg,paraphrase,29,celebrity,2
3,80359402,A high-quality photo of Jeff Bezos,Jeff Bezos,original,0,celebrity,0
3,488449935,A studio portrait of Jeff Bezos,Jeff Bezos,original,1,celebrity,0
3,877173454,A candid street photo of Jeff Bezos,Jeff Bezos,original,2,celebrity,0
3,553518891,A formal headshot of Jeff Bezos,Jeff Bezos,original,3,celebrity,0
3,239532287,An editorial magazine cover featuring Jeff Bezos,Jeff Bezos,original,4,celebrity,0
3,872621690,A press-conference photo of Jeff Bezos,Jeff Bezos,original,5,celebrity,0
3,887109114,A stage appearance photo of Jeff Bezos,Jeff Bezos,original,6,celebrity,0
3,494721410,A red-carpet photo of Jeff Bezos,Jeff Bezos,original,7,celebrity,0
3,436774869,A black and white portrait of Jeff Bezos,Jeff Bezos,original,8,celebrity,0
3,203729891,A cinematic close-up of Jeff Bezos,Jeff Bezos,original,9,celebrity,0
3,435254021,A full-body shot of Jeff Bezos,Jeff Bezos,original,10,celebrity,0
3,343281088,A documentary-style photo of Jeff Bezos,Jeff Bezos,original,11,celebrity,0
3,366777310,A 3/4 profile portrait of Jeff Bezos,Jeff Bezos,original,12,celebrity,0
3,120133973,A vintage film photo of Jeff Bezos,Jeff Bezos,original,13,celebrity,0
3,296990915,A photorealistic render of Jeff Bezos,Jeff Bezos,original,14,celebrity,0
3,932859082,An illustration of Jeff Bezos,Jeff Bezos,original,15,celebrity,0
3,669780729,A watercolor painting of Jeff Bezos,Jeff Bezos,original,16,celebrity,0
3,412507727,A charcoal sketch of Jeff Bezos,Jeff Bezos,original,17,celebrity,0
3,690906246,A pastel drawing of Jeff Bezos,Jeff Bezos,original,18,celebrity,0
3,946202011,A pop-art portrait of Jeff Bezos,Jeff Bezos,original,19,celebrity,0
3,606818307,A pixel-art depiction of Jeff Bezos,Jeff Bezos,original,20,celebrity,0
3,923160276,A 3D render of Jeff Bezos,Jeff Bezos,original,21,celebrity,0
3,646561760,A low-poly 3D model of Jeff Bezos,Jeff Bezos,original,22,celebrity,0
3,11459111,A claymation figure of Jeff Bezos,Jeff Bezos,original,23,celebrity,0
3,104739349,A silhouette of Jeff Bezos,Jeff Bezos,original,24,celebrity,0
3,678390269,A poster design with Jeff Bezos,Jeff Bezos,original,25,celebrity,0
3,685243749,A minimal line drawing of Jeff Bezos,Jeff Bezos,original,26,celebrity,0
3,99958577,An isometric illustration of Jeff Bezos,Jeff Bezos,original,27,celebrity,0
3,577811163,A sticker design of Jeff Bezos,Jeff Bezos,original,28,celebrity,0
3,271805542,A blueprint-style drawing of Jeff Bezos,Jeff Bezos,original,29,celebrity,0
4,520630946,A high-quality photo of Founder of Amazon,Jeff Bezos,paraphrase,0,celebrity,1
4,95513441,A studio portrait of Founder of Amazon,Jeff Bezos,paraphrase,1,celebrity,1
4,601839819,A candid street photo of Founder of Amazon,Jeff Bezos,paraphrase,2,celebrity,1
4,339297314,A formal headshot of Founder of Amazon,Jeff Bezos,paraphrase,3,celebrity,1
4,186420043,An editorial magazine cover featuring Founder of Amazon,Jeff Bezos,paraphrase,4,celebrity,1
4,520664300,A press-conference photo of Founder of Amazon,Jeff Bezos,paraphrase,5,celebrity,1
4,283313018,A stage appearance photo of Founder of Amazon,Jeff Bezos,paraphrase,6,celebrity,1
4,97124641,A red-carpet photo of Founder of Amazon,Jeff Bezos,paraphrase,7,celebrity,1
4,982406927,A black and white portrait of Founder of Amazon,Jeff Bezos,paraphrase,8,celebrity,1
4,489496098,A cinematic close-up of Founder of Amazon,Jeff Bezos,paraphrase,9,celebrity,1
4,13766813,A full-body shot of Founder of Amazon,Jeff Bezos,paraphrase,10,celebrity,1
4,403037809,A documentary-style photo of Founder of Amazon,Jeff Bezos,paraphrase,11,celebrity,1
4,492385684,A 3/4 profile portrait of Founder of Amazon,Jeff Bezos,paraphrase,12,celebrity,1
4,789932713,A vintage film photo of Founder of Amazon,Jeff Bezos,paraphrase,13,celebrity,1
4,588516487,A photorealistic render of Founder of Amazon,Jeff Bezos,paraphrase,14,celebrity,1
4,470462142,An illustration of Founder of Amazon,Jeff Bezos,paraphrase,15,celebrity,1
4,214898081,A watercolor painting of Founder of Amazon,Jeff Bezos,paraphrase,16,celebrity,1
4,281455316,A charcoal sketch of Founder of Amazon,Jeff Bezos,paraphrase,17,celebrity,1
4,330648389,A pastel drawing of Founder of Amazon,Jeff Bezos,paraphrase,18,celebrity,1
4,949860646,A pop-art portrait of Founder of Amazon,Jeff Bezos,paraphrase,19,celebrity,1
4,642470737,A pixel-art depiction of Founder of Amazon,Jeff Bezos,paraphrase,20,celebrity,1
4,930621026,A 3D render of Founder of Amazon,Jeff Bezos,paraphrase,21,celebrity,1
4,105972982,A low-poly 3D model of Founder of Amazon,Jeff Bezos,paraphrase,22,celebrity,1
4,48175550,A claymation figure of Founder of Amazon,Jeff Bezos,paraphrase,23,celebrity,1
4,849230234,A silhouette of Founder of Amazon,Jeff Bezos,paraphrase,24,celebrity,1
4,374254954,A poster design with Founder of Amazon,Jeff Bezos,paraphrase,25,celebrity,1
4,52165229,A minimal line drawing of Founder of Amazon,Jeff Bezos,paraphrase,26,celebrity,1
4,5055033,An isometric illustration of Founder of Amazon,Jeff Bezos,paraphrase,27,celebrity,1
4,693936997,A sticker design of Founder of Amazon,Jeff Bezos,paraphrase,28,celebrity,1
4,186425632,A blueprint-style drawing of Founder of Amazon,Jeff Bezos,paraphrase,29,celebrity,1
5,47743788,A high-quality photo of CEO of Amazon,Jeff Bezos,paraphrase,0,celebrity,2
5,219637638,A studio portrait of CEO of Amazon,Jeff Bezos,paraphrase,1,celebrity,2
5,149112683,A candid street photo of CEO of Amazon,Jeff Bezos,paraphrase,2,celebrity,2
5,317891080,A formal headshot of CEO of Amazon,Jeff Bezos,paraphrase,3,celebrity,2
5,862633119,An editorial magazine cover featuring CEO of Amazon,Jeff Bezos,paraphrase,4,celebrity,2
5,51885893,A press-conference photo of CEO of Amazon,Jeff Bezos,paraphrase,5,celebrity,2
5,533852525,A stage appearance photo of CEO of Amazon,Jeff Bezos,paraphrase,6,celebrity,2
5,926779077,A red-carpet photo of CEO of Amazon,Jeff Bezos,paraphrase,7,celebrity,2
5,639220591,A black and white portrait of CEO of Amazon,Jeff Bezos,paraphrase,8,celebrity,2
5,32045550,A cinematic close-up of CEO of Amazon,Jeff Bezos,paraphrase,9,celebrity,2
5,778434068,A full-body shot of CEO of Amazon,Jeff Bezos,paraphrase,10,celebrity,2
5,516172849,A documentary-style photo of CEO of Amazon,Jeff Bezos,paraphrase,11,celebrity,2
5,852622734,A 3/4 profile portrait of CEO of Amazon,Jeff Bezos,paraphrase,12,celebrity,2
5,722952264,A vintage film photo of CEO of Amazon,Jeff Bezos,paraphrase,13,celebrity,2
5,734152281,A photorealistic render of CEO of Amazon,Jeff Bezos,paraphrase,14,celebrity,2
5,856402084,An illustration of CEO of Amazon,Jeff Bezos,paraphrase,15,celebrity,2
5,955732403,A watercolor painting of CEO of Amazon,Jeff Bezos,paraphrase,16,celebrity,2
5,670029321,A charcoal sketch of CEO of Amazon,Jeff Bezos,paraphrase,17,celebrity,2
5,492630332,A pastel drawing of CEO of Amazon,Jeff Bezos,paraphrase,18,celebrity,2
5,289011715,A pop-art portrait of CEO of Amazon,Jeff Bezos,paraphrase,19,celebrity,2
5,243866438,A pixel-art depiction of CEO of Amazon,Jeff Bezos,paraphrase,20,celebrity,2
5,409166090,A 3D render of CEO of Amazon,Jeff Bezos,paraphrase,21,celebrity,2
5,758384329,A low-poly 3D model of CEO of Amazon,Jeff Bezos,paraphrase,22,celebrity,2
5,531396735,A claymation figure of CEO of Amazon,Jeff Bezos,paraphrase,23,celebrity,2
5,835825031,A silhouette of CEO of Amazon,Jeff Bezos,paraphrase,24,celebrity,2
5,511234357,A poster design with CEO of Amazon,Jeff Bezos,paraphrase,25,celebrity,2
5,138090000,A minimal line drawing of CEO of Amazon,Jeff Bezos,paraphrase,26,celebrity,2
5,690181689,An isometric illustration of CEO of Amazon,Jeff Bezos,paraphrase,27,celebrity,2
5,332095786,A sticker design of CEO of Amazon,Jeff Bezos,paraphrase,28,celebrity,2
5,718199845,A blueprint-style drawing of CEO of Amazon,Jeff Bezos,paraphrase,29,celebrity,2
6,494345935,A high-quality photo of Robert Downey Jr.,Robert Downey Jr.,original,0,celebrity,0
6,755760924,A studio portrait of Robert Downey Jr.,Robert Downey Jr.,original,1,celebrity,0
6,791119946,A candid street photo of Robert Downey Jr.,Robert Downey Jr.,original,2,celebrity,0
6,874361817,A formal headshot of Robert Downey Jr.,Robert Downey Jr.,original,3,celebrity,0
6,246986893,An editorial magazine cover featuring Robert Downey Jr.,Robert Downey Jr.,original,4,celebrity,0
6,722415754,A press-conference photo of Robert Downey Jr.,Robert Downey Jr.,original,5,celebrity,0
6,62542622,A stage appearance photo of Robert Downey Jr.,Robert Downey Jr.,original,6,celebrity,0
6,728702409,A red-carpet photo of Robert Downey Jr.,Robert Downey Jr.,original,7,celebrity,0
6,167179243,A black and white portrait of Robert Downey Jr.,Robert Downey Jr.,original,8,celebrity,0
6,68835132,A cinematic close-up of Robert Downey Jr.,Robert Downey Jr.,original,9,celebrity,0
6,135425418,A full-body shot of Robert Downey Jr.,Robert Downey Jr.,original,10,celebrity,0
6,953911243,A documentary-style photo of Robert Downey Jr.,Robert Downey Jr.,original,11,celebrity,0
6,910316698,A 3/4 profile portrait of Robert Downey Jr.,Robert Downey Jr.,original,12,celebrity,0
6,422828970,A vintage film photo of Robert Downey Jr.,Robert Downey Jr.,original,13,celebrity,0
6,938504332,A photorealistic render of Robert Downey Jr.,Robert Downey Jr.,original,14,celebrity,0
6,300485944,An illustration of Robert Downey Jr.,Robert Downey Jr.,original,15,celebrity,0
6,362712468,A watercolor painting of Robert Downey Jr.,Robert Downey Jr.,original,16,celebrity,0
6,700224463,A charcoal sketch of Robert Downey Jr.,Robert Downey Jr.,original,17,celebrity,0
6,399659230,A pastel drawing of Robert Downey Jr.,Robert Downey Jr.,original,18,celebrity,0
6,200883433,A pop-art portrait of Robert Downey Jr.,Robert Downey Jr.,original,19,celebrity,0
6,507397614,A pixel-art depiction of Robert Downey Jr.,Robert Downey Jr.,original,20,celebrity,0
6,837013110,A 3D render of Robert Downey Jr.,Robert Downey Jr.,original,21,celebrity,0
6,918787377,A low-poly 3D model of Robert Downey Jr.,Robert Downey Jr.,original,22,celebrity,0
6,547586475,A claymation figure of Robert Downey Jr.,Robert Downey Jr.,original,23,celebrity,0
6,417191077,A silhouette of Robert Downey Jr.,Robert Downey Jr.,original,24,celebrity,0
6,704766436,A poster design with Robert Downey Jr.,Robert Downey Jr.,original,25,celebrity,0
6,479920369,A minimal line drawing of Robert Downey Jr.,Robert Downey Jr.,original,26,celebrity,0
6,6886789,An isometric illustration of Robert Downey Jr.,Robert Downey Jr.,original,27,celebrity,0
6,432669895,A sticker design of Robert Downey Jr.,Robert Downey Jr.,original,28,celebrity,0
6,584204265,A blueprint-style drawing of Robert Downey Jr.,Robert Downey Jr.,original,29,celebrity,0
7,985920466,A high-quality photo of Tony Stark,Robert Downey Jr.,paraphrase,0,celebrity,1
7,281002329,A studio portrait of Tony Stark,Robert Downey Jr.,paraphrase,1,celebrity,1
7,902654824,A candid street photo of Tony Stark,Robert Downey Jr.,paraphrase,2,celebrity,1
7,204678695,A formal headshot of Tony Stark,Robert Downey Jr.,paraphrase,3,celebrity,1
7,53192203,An editorial magazine cover featuring Tony Stark,Robert Downey Jr.,paraphrase,4,celebrity,1
7,948693206,A press-conference photo of Tony Stark,Robert Downey Jr.,paraphrase,5,celebrity,1
7,406910826,A stage appearance photo of Tony Stark,Robert Downey Jr.,paraphrase,6,celebrity,1
7,238237937,A red-carpet photo of Tony Stark,Robert Downey Jr.,paraphrase,7,celebrity,1
7,481824907,A black and white portrait of Tony Stark,Robert Downey Jr.,paraphrase,8,celebrity,1
7,902502665,A cinematic close-up of Tony Stark,Robert Downey Jr.,paraphrase,9,celebrity,1
7,6526721,A full-body shot of Tony Stark,Robert Downey Jr.,paraphrase,10,celebrity,1
7,844697182,A documentary-style photo of Tony Stark,Robert Downey Jr.,paraphrase,11,celebrity,1
7,601630182,A 3/4 profile portrait of Tony Stark,Robert Downey Jr.,paraphrase,12,celebrity,1
7,970732314,A vintage film photo of Tony Stark,Robert Downey Jr.,paraphrase,13,celebrity,1
7,54470849,A photorealistic render of Tony Stark,Robert Downey Jr.,paraphrase,14,celebrity,1
7,565133256,An illustration of Tony Stark,Robert Downey Jr.,paraphrase,15,celebrity,1
7,500232700,A watercolor painting of Tony Stark,Robert Downey Jr.,paraphrase,16,celebrity,1
7,672540706,A charcoal sketch of Tony Stark,Robert Downey Jr.,paraphrase,17,celebrity,1
7,182103613,A pastel drawing of Tony Stark,Robert Downey Jr.,paraphrase,18,celebrity,1
7,409183006,A pop-art portrait of Tony Stark,Robert Downey Jr.,paraphrase,19,celebrity,1
7,930544344,A pixel-art depiction of Tony Stark,Robert Downey Jr.,paraphrase,20,celebrity,1
7,460462883,A 3D render of Tony Stark,Robert Downey Jr.,paraphrase,21,celebrity,1
7,568518526,A low-poly 3D model of Tony Stark,Robert Downey Jr.,paraphrase,22,celebrity,1
7,862065296,A claymation figure of Tony Stark,Robert Downey Jr.,paraphrase,23,celebrity,1
7,164881330,A silhouette of Tony Stark,Robert Downey Jr.,paraphrase,24,celebrity,1
7,707857546,A poster design with Tony Stark,Robert Downey Jr.,paraphrase,25,celebrity,1
7,410538608,A minimal line drawing of Tony Stark,Robert Downey Jr.,paraphrase,26,celebrity,1
7,89348651,An isometric illustration of Tony Stark,Robert Downey Jr.,paraphrase,27,celebrity,1
7,651598562,A sticker design of Tony Stark,Robert Downey Jr.,paraphrase,28,celebrity,1
7,654009533,A blueprint-style drawing of Tony Stark,Robert Downey Jr.,paraphrase,29,celebrity,1
8,225114679,A high-quality photo of Actor who played the character of Iron Man,Robert Downey Jr.,paraphrase,0,celebrity,2
8,1447303,A studio portrait of Actor who played the character of Iron Man,Robert Downey Jr.,paraphrase,1,celebrity,2
8,509738286,A candid street photo of Actor who played the character of Iron Man,Robert Downey Jr.,paraphrase,2,celebrity,2
8,446874665,A formal headshot of Actor who played the character of Iron Man,Robert Downey Jr.,paraphrase,3,celebrity,2
8,889755404,An editorial magazine cover featuring Actor who played the character of Iron Man,Robert Downey Jr.,paraphrase,4,celebrity,2
8,991837226,A press-conference photo of Actor who played the character of Iron Man,Robert Downey Jr.,paraphrase,5,celebrity,2
8,550934686,A stage appearance photo of Actor who played the character of Iron Man,Robert Downey Jr.,paraphrase,6,celebrity,2
8,561043710,A red-carpet photo of Actor who played the character of Iron Man,Robert Downey Jr.,paraphrase,7,celebrity,2
8,609474738,A black and white portrait of Actor who played the character of Iron Man,Robert Downey Jr.,paraphrase,8,celebrity,2
8,15038665,A cinematic close-up of Actor who played the character of Iron Man,Robert Downey Jr.,paraphrase,9,celebrity,2
8,13924791,A full-body shot of Actor who played the character of Iron Man,Robert Downey Jr.,paraphrase,10,celebrity,2
8,559696954,A documentary-style photo of Actor who played the character of Iron Man,Robert Downey Jr.,paraphrase,11,celebrity,2
8,18933727,A 3/4 profile portrait of Actor who played the character of Iron Man,Robert Downey Jr.,paraphrase,12,celebrity,2
8,421755337,A vintage film photo of Actor who played the character of Iron Man,Robert Downey Jr.,paraphrase,13,celebrity,2
8,445879597,A photorealistic render of Actor who played the character of Iron Man,Robert Downey Jr.,paraphrase,14,celebrity,2
8,326688387,An illustration of Actor who played the character of Iron Man,Robert Downey Jr.,paraphrase,15,celebrity,2
8,382818728,A watercolor painting of Actor who played the character of Iron Man,Robert Downey Jr.,paraphrase,16,celebrity,2
8,906199900,A charcoal sketch of Actor who played the character of Iron Man,Robert Downey Jr.,paraphrase,17,celebrity,2
8,845399996,A pastel drawing of Actor who played the character of Iron Man,Robert Downey Jr.,paraphrase,18,celebrity,2
8,239828088,A pop-art portrait of Actor who played the character of Iron Man,Robert Downey Jr.,paraphrase,19,celebrity,2
8,686695268,A pixel-art depiction of Actor who played the character of Iron Man,Robert Downey Jr.,paraphrase,20,celebrity,2
8,973950428,A 3D render of Actor who played the character of Iron Man,Robert Downey Jr.,paraphrase,21,celebrity,2
8,147515507,A low-poly 3D model of Actor who played the character of Iron Man,Robert Downey Jr.,paraphrase,22,celebrity,2
8,653888071,A claymation figure of Actor who played the character of Iron Man,Robert Downey Jr.,paraphrase,23,celebrity,2
8,237104162,A silhouette of Actor who played the character of Iron Man,Robert Downey Jr.,paraphrase,24,celebrity,2
8,221175664,A poster design with Actor who played the character of Iron Man,Robert Downey Jr.,paraphrase,25,celebrity,2
8,633830684,A minimal line drawing of Actor who played the character of Iron Man,Robert Downey Jr.,paraphrase,26,celebrity,2
8,52300900,An isometric illustration of Actor who played the character of Iron Man,Robert Downey Jr.,paraphrase,27,celebrity,2
8,394136593,A sticker design of Actor who played the character of Iron Man,Robert Downey Jr.,paraphrase,28,celebrity,2
8,48172167,A blueprint-style drawing of Actor who played the character of Iron Man,Robert Downey Jr.,paraphrase,29,celebrity,2
9,262770223,A high-quality photo of Donald Trump,Donald Trump,original,0,celebrity,0
9,867891610,A studio portrait of Donald Trump,Donald Trump,original,1,celebrity,0
9,771261593,A candid street photo of Donald Trump,Donald Trump,original,2,celebrity,0
9,660624838,A formal headshot of Donald Trump,Donald Trump,original,3,celebrity,0
9,56347532,An editorial magazine cover featuring Donald Trump,Donald Trump,original,4,celebrity,0
9,755844632,A press-conference photo of Donald Trump,Donald Trump,original,5,celebrity,0
9,379850784,A stage appearance photo of Donald Trump,Donald Trump,original,6,celebrity,0
9,936842925,A red-carpet photo of Donald Trump,Donald Trump,original,7,celebrity,0
9,296302835,A black and white portrait of Donald Trump,Donald Trump,original,8,celebrity,0
9,193881269,A cinematic close-up of Donald Trump,Donald Trump,original,9,celebrity,0
9,676970987,A full-body shot of Donald Trump,Donald Trump,original,10,celebrity,0
9,6904535,A documentary-style photo of Donald Trump,Donald Trump,original,11,celebrity,0
9,661465234,A 3/4 profile portrait of Donald Trump,Donald Trump,original,12,celebrity,0
9,118335226,A vintage film photo of Donald Trump,Donald Trump,original,13,celebrity,0
9,501629704,A photorealistic render of Donald Trump,Donald Trump,original,14,celebrity,0
9,654260809,An illustration of Donald Trump,Donald Trump,original,15,celebrity,0
9,270138202,A watercolor painting of Donald Trump,Donald Trump,original,16,celebrity,0
9,322459726,A charcoal sketch of Donald Trump,Donald Trump,original,17,celebrity,0
9,806556797,A pastel drawing of Donald Trump,Donald Trump,original,18,celebrity,0
9,750192850,A pop-art portrait of Donald Trump,Donald Trump,original,19,celebrity,0
9,36296573,A pixel-art depiction of Donald Trump,Donald Trump,original,20,celebrity,0
9,877825045,A 3D render of Donald Trump,Donald Trump,original,21,celebrity,0
9,689354308,A low-poly 3D model of Donald Trump,Donald Trump,original,22,celebrity,0
9,536726680,A claymation figure of Donald Trump,Donald Trump,original,23,celebrity,0
9,530879162,A silhouette of Donald Trump,Donald Trump,original,24,celebrity,0
